System	LatexKey	sysKey	harvest URL	License	Paper	Paper Link	Link	Domain	Carrier	Description	Output Type	Conceptual Model	Abstraction Mechanism	Source	Language Form	Coded Domain	Execution Model	Alt API Available	Extensible	Formal Definition Available	Language	Data manipulation	Provides Accessibility	Juxtaposition strategy	Allowed Data Type	Data model	Interaction source	Open Source	Dependent	Mark Types	Series Types
ComicScript	wang2022interactive	comicscript	https://interactivedatacomics.github.io/	None	Interactive Data Comics	https://interactivedatacomics.github.io/Interactive_Data_Comics_VIS2021%20(3).pdf	https://interactivedatacomics.github.io/	Narrative Comics	JSON	A language for creating data comics.	Common Markup format	Domain-specific	Yes	Academic	External	Domain	Interpreted	No	No	No	JSON	Filters	No	Language	Standard Tabular	Runtime data	Custom Runtime	Yes	Depends on wrapped images	n/a	isotypes
CompassQL	wongsuphasawat2016towards	compasql	https://github.com/vega/compassql	https://github.com/vega/compassql/blob/master/LICENSE	Towards A General-Purpose Query Language for Visualization Recommendation	https://idl.cs.washington.edu/papers/compassql	https://github.com/vega/compassql	Visualization Recomendation	JSON	A language for describing constraints to the charting recomendation system Voyager.	Different Lang Spec	Grammar of Graphics	No	Academic	External	Domain	Compiled	No	No	No	JSON	Filters	No	External	Standard Tabular	Data table	Compile Target, Application	Yes	Yes	n/a	n/a
Data Theater	lau2020data	DataTheater	Gathered from paper and talk	Copyright belongs to author	Data Theater: A Live Programming Environment for Prototyping Data-Driven Explorable Explanations	https://www.samlau.me/pubs/Data-Theater-prototyping-explorable-explanations_LIVE-2020.pdf	N/A	Explorable Explanations	XML	A language for designing Victor-style explorable explanations.	Common Markup format	Graphics Manipulation	No	Academic	External	Domain	Interpreted	No	No	No	JSON and Python	None	Unknown	Language	Domain Specific	Runtime data	Application	No	No	rect, circle, line, text	n/a
deck.gl/json	wang2019deck	deckgl-json	https://github.com/visgl/deck.gl/tree/master/examples/playground/json-examples	MIT	Deck.gl: Large-scale Web-based Visual Analytics Made Easy	https://arxiv.org/pdf/1910.08865.pdf	https://deck.gl/docs/api-reference/json/overview	Maps	JSON	A language for specifying WebGL-based maps and other large-scale datasets.	Common Markup format	Series-based	Yes	Industry	External	Chart Type	Interpreted	Yes	Yes	No	JSON	None	No	Spatial	Standard Tabular, Domain Specific	Data table	Custom Runtime	Yes	No	n/a	arc, bitmap, column, contour, geojson, greatcircle, grid, heatmap, hexagon, icon, line, path, pointcloud, polygon, quadkey, scatterplot, simplemesh, solidpolygon, terrain, text, tile, trips
DGML	DirectedGraphMarkupLanguage	dgml	https://docs.microsoft.com/en-us/visualstudio/modeling/directed-graph-markup-language-dgml-reference?view=vs-2022	Unknown	N/A	N/A	https://docs.microsoft.com/en-us/visualstudio/modeling/directed-graph-markup-language-dgml-reference?view=vs-2022	Graphs	JSON	A language for describing graphs for visualization and to perform complexity analysis.	Not specified	Domain-specific	Yes	Industry	External	Chart Type	Compiled	No	Yes	Yes	XML	None	No	None	Inline	Graph	N/A	N/A Spec	No	labeled rectangles, edges, groups	n/a
DotML	dotML	dotml	http://www.martin-loetzsch.de/DOTML/examples3.html	http://www.martin-loetzsch.de/DOTML/licence.html	N/A	N/A	http://www.martin-loetzsch.de/DOTML/	Graphs	JSON	A language for creating Dot graph specifications.	Common Markup format	Domain-specific	No	Industry	External	Chart Type	Compiled	No	Yes	Yes	XML	None	No	None	Inline	Graph	N/A	N/A Spec	No	labeled rectangles, edges, groups	n/a
DXR	sicat2018dxr	dxr	https://github.com/ronellsicat/DxR	MIT	DXR: A Toolkit for Building Immersive Data Visualizations	http://vccvisualization.org/publications/2019_sicat_dxr.pdf	https://github.com/ronellsicat/DxR	XR/VR	XML	A language for designing immersive data visualization.	3D Engine	Grammar of Graphics	No	Academic	External	Domain	Interpreted	No	Yes	Yes	JSON	Filters	No	Spatial	Standard Tabular, Domain Specific	Data table	Compile Target, Custom RunTime	Yes	No	sphere, cube, cone, text, custom	n/a
ECharts	li2018echarts	echarts	https://github.com/apache/echarts-examples	Apache	ECharts: A declarative framework for rapid construction of web-based visualization	https://www.sciencedirect.com/science/article/pii/S2468502X18300068	https://echarts.apache.org/examples/en/index.html	Charting	JS	A language for creating charts on the web, contains progressive and responsive visualization functionality.	Common Markup format	Series-based	Yes	Industry	Internal	Charting	Embedded	No	Yes	No	JSON	More than filter	Yes	External	Standard Tabular, Domain Specific	Series	Custom Runtime	Yes	No	n/a	line, bar, pie, scatter, geo/map, candlestick, radar, boxplot, heatmap, graph, lines, tree, treemap, sunburst, parallel, sankey, funnel, gauge, pictorialbar, themeriver, calendar, datazoom, graphic, rich text, 3d globe, 3d bar, 3d scatter, 3d surface, 3d map, 3d lines, 3d line, scatter gl, lines gl, flow gl, graph gl
Flex-ER	lobo2020flex	flex-er	https://dl.acm.org/doi/abs/10.1145/3427323 	ACM Copyright	Flex-ER: A Platform to Evaluate Interaction Techniques for Immersive Visualizations	http://hci.cs.umanitoba.ca/assets/publication_files/3427323(1).pdf	n/a	XR/VR	JSON	A language for describing XR scenes in the context of an experiment.	3D Engine	Grammar of Graphics	Yes	Academic	External	Domain	Interpreted	No	Yes	No	JSON	None	No	None	Standard Tabular, Domain Specific	Data table	Custom Runtime	No	No	point, line, bar	n/a
Frappe	Frappe	frappe	https://github.com/frappe/charts	MIT	N/A	N/A	https://frappe.io/charts/docs	Charting	JSON	A language for creating responsive web-based charts.	Common Markup format	Series-based	No	Industry	Internal	Charting	Embedded	Yes	No	No	JSON embedded in JS	None	No	External	Standard Tabular, Domain Specific	Series	Custom Runtime	Yes	No	n/a	line, bar, axis-mixed, pie, percentage, heatmap
FusionCharts	fusioncharts	fusioncharts	https://github.com/fusioncharts/fusionexport-javascript-client	https://github.com/fusioncharts/fusioncharts-dist/blob/develop/LICENSE.md	N/A	N/A	https://www.fusioncharts.com/dev/fusiontime/getting-started/fusiontime-json-structure	Charting	JSON	A language for creating a variety of charts and maps in the browser.	Common Markup format	Series-based	No	Industry	External	Charting	Interpreted	Yes	No	No	JSON with JS Embdded, XML	None	Yes	Language	Standard Tabular, Domain Specific	Data table	Custom Runtime	Yes	No	n/a	area 2d chart, bar 2d chart, bar 3d chart, box and whisker chart, bubble chart, candlestick chart, column 2d chart, column 3d chart, doughnut 2d chart, doughnut 3d chart, drag node chart, drag-able area 2d chart, drag-able column 2d chart, drag-able line 2d chart, error bar chart, error line 2d chart, error scatter chart, funnel chart, fusionmaps, gantt chart, heat map chart, horizontal bullet graph, inverse y-axis area 2d chart, inverse y-axis column 2d chart, inverse y-axis line 2d chart, kagi chart, line 2d chart, logarithmic column 2d chart, logarithmic line 2d chart, marimekko chart, multi-series column2d chart, multi-series column3d chart, multi-series spline 2d, multi-series spline area 2d, multi-axis line chart, multi-level pie chart, multi-series 2d dual y combination chart, multi-series 2d single y combination chart, multi-series 3d single y combination chart, multi-series area2d chart, multi-series bar2d chart, multi-series bar3d chart, multi-series column 3d + line - dual y axis chart, multi-series column 3d + line - single y axis chart, multi-series line2d chart, multi-series stacked column 2d + line dual y axis chart, multi-series stacked column2d chart, pareto 2d chart, pareto 3d chart, pie 2d chart, pie 3d chart, pyramid chart, radar chart, real-time angular, real-time area, real-time bulb, real-time column, real-time cylinder, real-time horizontal led, real-time horizontal linear gauge, real-time line, real-time line (dual y), real-time stacked area, real-time stacked column, real-time thermometer, real-time vertical led gauge, scatter chart, scroll area 2d, scroll column 2d, scroll combination 2d (dual y), scroll combination 2d (single y), scroll line 2d, scroll stacked column 2d chart, select-scatter chart, single-series spline 2d, single-series spline area 2d, spark column, spark line, spark win/loss, stacked area 2d chart, stacked bar2d chart, stacked bar3d chart, stacked column 2d + line single y axis chart, stacked column 3d + line dual y axis chart, stacked column 3d + line single y axis chart, stacked column2d chart, stacked column3d chart, step line chart, treemap chart, vertical bullet graph, waterfall / cascade chart, zoom line chart, zoom line dual y-axis chart, zoom scatter chart
Gemini 1	kim2020gemini	gemini	https://github.com/uwdata/gemini-supplemental-material	BSD 3-Clause License	Gemini: A Grammar and Recommender System for Animated Transitions in Statistical Graphics	http://idl.cs.washington.edu/papers/gemini	https://github.com/uwdata/gemini	Animation	XML	A language for describing animation using Vega charts.	Common Markup format	Grammar of Graphics	No	Academic	External	Interaction	Compiled	No	No	Yes	JSON	None	No	None	Standard Tabular, Domain Specific	Data table	Compile Target	Yes	Yes	n/a	n/a
Gemini 2	kim2021gemini2	gemini-2	https://github.com/uwdata/gemini	BSD 3-Clause License	Gemini^2: Generating Keyframe-Oriented Animated Transitions Between Statistical Graphics	http://idl.cs.washington.edu/papers/gemini2	https://github.com/uwdata/gemini	Animation	JSON	A language for creating animations with key frames over Vega and Vega-Lite charts.	Common Markup format	Grammar of Graphics	No	Academic	External	Interaction	Compiled	No	No	Yes	JSON	None	No	None	Standard Tabular, Domain Specific	Data table	Compile Target	Yes	Yes	n/a	n/a
Genome Spy	lavikkagenomespy	genome-spy	https://github.com/tuner/genome-spy	BSD-2-Clause License	GenomeSpy: grammar-based interactive genome visualization	https://f1000research.com/posters/9-967	https://github.com/tuner/genome-spy	Genomics	JSON	A language for creating visualization of genome data.	Common Markup format	Grammar of Graphics	No	Academic	External	Domain, Chart Type	Interpreted	Yes	No	No	JSON	More than filter	No	Language	Domain Specific, Standard Tabular	Data table	Custom Runtime	Yes	No	link, point, rect, rule, text	n/a
gg	wu2014case	ggErmac	https://github.com/sirrice/gg	https://raw.githubusercontent.com/sirrice/gg/master/LICENSE	N/A	N/A	https://github.com/sirrice/gg	Charting	JSON	A language style port of Grammar of Graphics to Javascript extended to support interactivity and backend data-processing support.	Common Markup format	Grammar of Graphics	No	Open Source	Internal	Charting	Embedded	No	No	No	JSON	None	No	Language	Standard Tabular, Domain Specific	Algebra	Custom Runtime	Yes	No	area, boxplot, line, point, rect, text	n/a
Glinda	deline2021glinda	glinda	Gathered from paper	Copyright held by IBM	Glinda: Supporting Data Science with Live Programming, GUIs and a Domain-specific Language	https://www.microsoft.com/en-us/research/uploads/prod/2021/05/glinda-chi-final.pdf	N/A	Data science	JSON	A language for conducting data science workflows. 	Common Markup format	Domain-specific	No	Academic	External	Domain	Compiled	No	Yes	No	YAML	More than filter	Unknown	External	Standard Tabular, Domain Specific	Data table	Custom Runtime	No	Yes	n/a	n/a
Gosling	l2022gosling	gosling	https://github.com/gosling-lang/gosling.js	MIT	Gosling: A Grammar-based Toolkit for Scalable and Interactive Genomics Data Visualization	https://osf.io/6evmb	http://gosling-lang.org/	Genomics	YAML	A language for creating linked interactive nucleotide graphics.	Common Markup format	Grammar of Graphics	Yes	Academic	External	Domain, Chart Type	Compiled	Yes	No	Yes	JSON	More than filter	No	Language	Domain Specific, Standard Tabular	Data table	Custom Runtime	Yes	No	point, line, area, bar, rect, text, link, triangle	n/a
GoTree	li2020gotree	gotree	N/A	N/A	Gotree: A grammar of tree visualizations	http://vis.pku.edu.cn/research/publication/chi20_gotree.pdf	N/A	Tree Visualization	JSON	A language for describing hierarchical or tree-like visualizations.	Common Markup format	Domain-specific	Yes	Academic	External	Chart Type	Interpreted	No	No	Yes	JSON	None	Unknown	None	Domain Specific	Domain-Specific	Custom Runtime	Yes	No	circle, rect, triangle, ellipse	n/a
GraphML	brandes2013graph	graphml	http://graphml.graphdrawing.org/	https://creativecommons.org/licenses/by/3.0/	Graph Markup Language (GraphML)	https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.90.2992&rep=rep1&type=pdf	http://graphml.graphdrawing.org/	Graphs	JSON	A language for describing graphs.	Not specified, Common Markup format	Domain-specific	No	Academic	External	Chart Type	Compiled	No	Yes	Yes	XML	None	No	None	Inline	Graph	N/A	N/A Spec	No	labeled rectangles, edges, groups	n/a
GXL	winter2002overview	gxl	https://userpages.uni-koblenz.de/~ist/GXL/examples/instance/gxl/crossing/content.html	Open standard	An overview of the GXL graph exchange language	https://link.springer.com/chapter/10.1007/3-540-45875-1_25	https://userpages.uni-koblenz.de/~ist/GXL/index.php	Graphs	XML	A language for the exchange of several kinds of graph information	Not specified	Domain-specific	No	Academic	External	Chart Type	Compiled	No	Yes	Yes	XML	None	No	None	Inline	Graph	N/A	Yes	No	labeled rectangles, edges, groups	n/a
Highcharts	HighCharts	highcharts	https://github.com/highcharts/highcharts	https://github.com/highcharts/highcharts/blob/master/license.txt	N/A	N/A	https://www.highcharts.com/docs/gantt/gantt-grouping-tasks	Charting	JS	A language for creating a variety of charts, maps, and diagrams in the browser.	Common Markup format	Series-based	Yes	Industry	Internal	Charting	Embedded	Yes	No	No	JSON embedded in JS	None	Yes	External	Standard Tabular, Domain Specific	Series	Custom Runtime	Yes	No	n/a	area, arearange, areaspline, areasplinerange, bar, bellcurve, boxplot, bubble, bullet, column, columnpyramid, columnrange, cylinder, dependencywheel, dumbbell, errorbar, funnel, funnel3d, gauge, heatmap, histogram, item, line, lollipop, networkgraph, organization, packedbubble, pareto, pie, polygon, pyramid, pyramid3d, sankey, scatter, scatter3d, solidgauge, spline, streamgraph, sunburst, tilemap, timeline, treemap, variablepie, variwide, vector, venn, waterfall, windbarb, wordcloud, xrange
Ivy	mcnutt2021integrated	ivy	https://ivy-vis.netlify.app/	MIT	Integrated Visualization Editing via Parameterized Declarative Templates	https://arxiv.org/pdf/2101.07902.pdf	https://github.com/mcnuttandrew/ivy	Charting	JSON	A language for adding conditional and variables into JSON-based visualizations.	GUI Integrated Result	Domain-specific	Yes	Academic	External	Charting	Compiled	No	Yes	Yes	JSON	Filters	No	None	Standard Tabular, Domain Specific	Data table	Compile Target	Yes	Yes	n/a	n/a
Kyrix-S	tao2020kyrix	kyrix-s	https://github.com/tracyhenry/Kyrix	MIT	Kyrix-s: Authoring scalable scatterplot visualizations of big data	https://arxiv.org/abs/2007.15904	https://github.com/tracyhenry/Kyrix	Zoomable big data	JSON	A language for building zooming based visualization over big data.	GUI Integrated Result	Grammar of Graphics	No	Academic	Internal	Interaction, Domain	Compiled	Yes	Yes	Yes	JSON	More than filter	No	Spatial	Standard Tabular, Domain Specific	Data table	Custom Runtime	Yes	No	circle, contour, heatmap, radar, pie, custom	n/a
Multiclass-Density-Maps	jo2018declarative	MultiClassDensityMaps	https://github.com/e-/Multiclass-Density-Maps	BSD 2-Clause License	A Declarative Rendering Model for Multiclass Density Maps	https://hal.inria.fr/hal-01848427/document	https://www.jaeminjo.com/Multiclass-Density-Maps/	Multi-class density maps	JSON	A language for describing multiclass density maps.	Common Markup format	Domain-specific	No	Academic	External	Chart Type	Interpreted	No	No	Yes	JSON	None	No	None	Domain Specific	Domain-Specific	N/A	Yes	No	triangle, rect, hexagon, bar	n/a
NEO	gortler2021neo	neo	Gathered from paper	Copyright belongs to author	NEO: Generalizing Confusion Matrix Visualization to Hierarchical and Multi-Output Labels	https://arxiv.org/pdf/2110.12536.pdf	N/A	Confusion matrices	JSON	A language for describing confusion matrices.	Common Markup format	Domain-specific	No	Academic	External	Chart Type	Interpreted	No	No	No	JSON	Filters	Unknown	None	Standard Tabular, Domain Specific	Algebra	Custom Runtime	No	No	rect	n/a
P4	li2018p4	p4	https://github.com/jpkli/p4	GPL-3.0 License	P4: Portable Parallel Processing Pipelines for Interactive Information Visualization	https://jpkli.github.io/papers/p4-tvcg.pdf	https://jpkli.github.io/p4/#/	Big data charting	JSON	A language for big data processing and interactive visualization with GPUs.	Common Markup format	Grammar of Graphics	No	Academic	External	Domain	Compiled	Yes	Yes	No	JSON	More than filter	No	Language	Standard Tabular, Domain Specific	Data table	Custom Runtime	Yes	No	area, bar, circle, line, rect, spline 	n/a
P5	li2019p5	pv	https://github.com/jpkli/pv	None	P5: Portable Progressive Parallel Processing Pipelines for Interactive Data Analysis and Visualization	https://jpkli.github.io/papers/p5-infovis.pdf	https://github.com/jpkli/pv	Progressive visualization	JS	A language for progressive parallel processing and visualization.	Common Markup format	Grammar of Graphics	Yes	Academic	Internal	Domain	Compiled, Embedded	No	No	No	JSON embedded in JS	More than filter	No	Language	Standard Tabular, Domain Specific	Data table	Custom Runtime	Yes	No	area, bar, circle, line, rect, spline 	n/a
P6	li2020p6	p6	https://github.com/jpkli/p6/tree/master/examples	None	P6: A Declarative Language for Integrating Machine Learning in Visual Analytics	https://arxiv.org/pdf/2009.01399.pdf	https://github.com/jpkli/p6	Machine learning visualization	JS	A language for intergrating machine learning in visual analytics	Common Markup format	Grammar of Graphics	Yes	Academic	Internal	Domain	Compiled, Embedded	No	Yes	Yes	JSON embedded in JS	More than filter	No	Language	Standard Tabular, Domain Specific	Data table	Custom Runtime	Yes	No	area, bar, circle, line, rect, spline 	n/a
PapARVis	chen2020augmenting	PapARVis	https://github.com/PapARVis/vega-ar	None	Augmenting Static Visualizations with PapARVis Designer	https://dl.acm.org/doi/abs/10.1145/3313831.3376436	https://github.com/PapARVis	XR/VR	JSON	A language and system for adding augmented reality enhancements to static graphics through Vega specifications.	3D Engine	Grammar of Graphics	Yes	Academic	External	Domain	Compiled	No	No	No	JSON	More than filter	No	Language	Standard Tabular, Domain Specific	Data table	Compile Target, Custom RunTime	Yes	Yes	n/a	n/a
Plot	observablePlot	observablePlot	https://observablehq.com/@observablehq/plot-cheatsheets	ISC license	N/A	N/A	https://github.com/observablehq/plot	Charting	JS	A language for exploratory data visualization in the browser.	Common Markup format	Grammar of Graphics	No	Industry	Internal	Charting	Embedded	No	Yes	No	JSON embedded in JS	More than filter	Yes	Language	Standard Tabular, Domain Specific	Data table	Custom Runtime	Yes	No	area, arrow, bar, cell, dot, image, line, link, rect, rule, tex, tick, vector	n/a
Plotly JSON	plotlyJSON	plotly	https://github.com/plotly/plotly.js/tree/master/test/image/mocks	MIT	N/A	N/A	https://plotly.com/chart-studio-help/json-chart-schema/	Charting	JSON	A language for describing interactive visualization on the web.	Common Markup format	Series-based	No	Industry	External	Charting	Interpreted	Yes	No	Yes	JSON	None	No	Language	Standard Tabular, Domain Specific	Series	Custom Runtime	Yes	No	n/a	bar, bar polar, box, candlestick, carpet, choropleth, choropleth mapbox, cone, contour, contour carpet, density mapbox, funnel, funnel area, heatmap, heatmap gl, histogram, histogram 2d, histogram 2d contour, icicle, image, indicator, isosurface, mesh, ohlc, parallel categories, parallel coordinates, pie, splom, sankey, scatter, scatter 3d, scatter carpet, scatter gl, scatter geo, scatter mapbox, scatter polar, scatter polar gl, scatter smith, scatter ternary, sunburst, surface, table, treemap, violin, volume, waterfall
Scholz 3D Vis Language	scholz2021modular	Scholz-3D-Vis-Language	Gathered from paper	Copyright belongs to author	A Modular Domain-Specific Language Dominik Scholz Visual Computing for Interactive 3D Visualization	https://repositum.tuwien.at/handle/20.500.12708/17807	https://repositum.tuwien.at/handle/20.500.12708/17807	SciVis	JSON	A language for describing 3D Visualizations.	3D Engine	Domain-specific	Yes	Academic	External	Domain	Interpreted	No	Yes	Yes	JSON	None	No	None	Domain Specific, Standard Tabular	Domain-Specific	Compile Target, Custom RunTime	No	Yes	n/a	n/a
SetCoLa	hoffswell2018setcola	setcola	https://github.com/uwdata/setcola/tree/gh-pages	MIT	SetCoLa: High‐Level Constraints for Graph Layout	https://idl.cs.washington.edu/files/2018-SetCoLa-EuroVis.pdf	https://github.com/uwdata/setcola	Graphs	JSON	A language for creating graphs based on high-level constraints.	Different Lang Spec	Domain-specific	Yes	Academic	External	Chart Type	Compiled	No	No	No	JSON	None	No	None	Domain Specific	Graph	Compile Target	Yes	Yes	n/a	n/a
Shih Volume Vis Language	shih2018declarative	Shih-Volume-Vis-Language	Gathered from paper	Copyright belongs to author	A Declarative Grammar of Flexible Volume Visualization Pipelines	https://ieeexplore.ieee.org/abstract/document/8440063	N/A	SciVis	JSON	A language for describing scientific visualization pipelines.	GUI Integrated Result	Domain-specific	Yes	Academic	External	Domain	Interpreted	No	Yes	Yes	JSON	More than filter	No	Language	Domain Specific	Domain-Specific	Application	No	No	density	n/a
StructGraphics	tsandilas_vis2021	struct-graphics	https://gitlab.inria.fr/structgraphics/code/		StructGraphics: Flexible Visualization Design through Data-Agnostic and Reusable Graphical Structures	https://hal.archives-ouvertes.fr/hal-02929811/document	https://www.lri.fr/~fanis/StructGraphics/	Charting	JSON	A language supporting a user interface for specifying expressive reusable chart forms.	GUI Integrated Result	Grammar of Graphics	Yes	Academic	External	Charting	Interpreted	No	No	Yes	JSON	More than filter	No	Spatial	Standard Tabular, Domain Specific	Data table	N/A	Yes	No	rect, circle, triangle, line, text	n/a
SVL	neogy2020representing	svl	https://github.com/mitvis/synchronized-vega-lite	None	Representing Real-Time Multi-User Collaboration in Visualizations	https://arxiv.org/pdf/2009.02587.pdf	https://github.com/mitvis/synchronized-vega-lite	Collaboration	JSON	A language for augmenting Vega-Lite with collaborative visualization aspects.	Different Lang Spec	Grammar of Graphics	Yes	Academic	External	Interaction	Interpreted	No	No	No	JSON	More than filter	No	Language	Standard Tabular, Domain Specific	Data table	Compile Target	Yes	Yes	n/a	n/a
Tea	jun2019tea	tea	https://github.com/tea-lang-org/tea-lang	Apache-2.0 License	Tea: A High-level Language and Runtime System for Automating Statistical Analysis	http://128.84.21.203/abs/1904.05387	https://tea-lang.org/	Data science	Python	A language for conducting statistical analyses	Common Markup format	Domain-specific	Yes	Academic	Internal	Domain	Compiled	No	No	No	JSON Embedded in python	None	No	None	Standard Tabular, Domain Specific	Data table	N/A	Yes	No	n/a	text
Vega	satyanarayan_reactive_2016	vega	https://github.com/vega/vega/tree/master/packages/vega/test/specs-valid	BSD-3-Clause License	Reactive vega: A streaming dataflow architecture for declarative interactive visualization	http://idl.cs.washington.edu/files/2015-ReactiveVega-InfoVis.pdf	https://vega.github.io/	Interactive Charting	JSON	A language for creating interactive web-based visualizations.	Common Markup format	Grammar of Graphics	Yes	Academic	External	Charting	Interpreted	No	Yes	Yes	JSON	More than filter	Yes	Language	Standard Tabular, Domain Specific	Data table	Custom Runtime	Yes	No	arc, area, image, group, line, path, rect, rule, shape, symbol, text, trail	n/a
Vega-Lite	satyanarayan2016vega	vega-lite	https://github.com/vega/vega-lite/tree/master/examples	BSD-3-Clause License	Vega-lite: A grammar of interactive graphics	https://idl.cs.washington.edu/files/2017-VegaLite-InfoVis.pdf	https://vega.github.io/	Interactive Charting	JSON	A language for creating interactive web-based visualizations.	Different Lang Spec	Grammar of Graphics	Yes	Academic	External	Charting	Compiled	Yes	Yes	Yes	JSON	More than filter	No	Language	Standard Tabular, Domain Specific	Data table	Compile Target	Yes	No	area, bar, circle, line, point, rect, rule, square, text, tick, geoshape	n/a
